slug,nameFa,iscCategory,iscRank,portalAuditStatus,deepAuditStatus,auditEvidenceCoverage,rank,score,confidence,url
ayatollah-borujerdi,دانشگاه آیت الله العظمی بروجردی (ره),جامع,46,direct-official,deep-audited,100,31,75.1,100,/datasets/audit-packets/ayatollah-borujerdi.json
bojnord,دانشگاه بجنورد,جامع,46,direct-official,deep-audited,75,33,74.8,82,/datasets/audit-packets/bojnord.json
khorramshahr-marine,دانشگاه علوم و فنون دریایی خرمشهر,جامع,49,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/khorramshahr-marine.json
meybod,دانشگاه میبد,جامع,50,direct-official,deep-audited,88,21,79.6,91.4,/datasets/audit-packets/meybod.json
bozorgmehr-qaenat,دانشگاه بزرگمهر قائنات,جامع,51,secondary-reference,portal-resolution-pending,50,,,,/datasets/audit-packets/bozorgmehr-qaenat.json
chabahar-maritime,دانشگاه دریانوردی و علوم دریایی چابهار,جامع,51,direct-official,deep-audited,88,42,70.7,91.4,/datasets/audit-packets/chabahar-maritime.json
velayat,دانشگاه ولایت,جامع,53,direct-official,identity-verified-deep-pending,50,,,,/datasets/audit-packets/velayat.json
amol-special-tech,دانشگاه تخصصی فناوری های نوین آمل,جامع,54,official-channel-reference,reference-resolved-deep-pending,81,,,,/datasets/audit-packets/amol-special-tech.json
malayer,دانشگاه ملایر,جامع,55,direct-official,deep-audited,81,52,68.2,86.3,/datasets/audit-packets/malayer.json
gonbad-kavous,دانشگاه گنبد کاووس,جامع,56,direct-official,deep-audited,75,35,74.3,82,/datasets/audit-packets/gonbad-kavous.json
torbat-heydarieh,دانشگاه تربت حیدریه,جامع,57,secondary-reference,portal-resolution-pending,38,,,,/datasets/audit-packets/torbat-heydarieh.json
hazrat-masoumeh,دانشگاه حضرت معصومه (س),جامع,58,secondary-reference,portal-resolution-pending,0,,,,/datasets/audit-packets/hazrat-masoumeh.json
jahrom,دانشگاه جهرم,جامع,59,secondary-reference,portal-resolution-pending,63,,,,/datasets/audit-packets/jahrom.json
kosar,دانشگاه کوثر,جامع,60,secondary-reference,portal-resolution-pending,0,,,,/datasets/audit-packets/kosar.json
jiroft,دانشگاه جیرفت,جامع,61,direct-official,deep-audited,88,38,73.4,91.4,/datasets/audit-packets/jiroft.json
salman-farsi-kazerun,دانشگاه سلمان فارسی کازرون,جامع,62,direct-official,deep-audited,88,32,74.9,91.4,/datasets/audit-packets/salman-farsi-kazerun.json
lar-higher-ed,مرکز آموزش عالی لار,جامع,62,secondary-reference,portal-resolution-pending,0,,,,/datasets/audit-packets/lar-higher-ed.json
gonabad-higher-ed,مجتمع آموزش عالی گناباد,جامع,64,institutional-reference,reference-resolved-deep-pending,25,,,,/datasets/audit-packets/gonabad-higher-ed.json
bam-higher-ed,مجتمع آموزش عالی بم,جامع,65,direct-official,deep-audited,88,48,68.6,91.4,/datasets/audit-packets/bam-higher-ed.json
neyshabur,دانشگاه نیشابور,جامع,66,false-positive-blocked,blocked-needs-alternative-discovery,75,,,,/datasets/audit-packets/neyshabur.json
eghlid-higher-ed,مرکز آموزش عالی اقلید,جامع,67,secondary-reference,portal-resolution-pending,50,,,,/datasets/audit-packets/eghlid-higher-ed.json
kashmar-higher-ed,مرکز آموزش عالی کاشمر,جامع,68,secondary-reference,portal-resolution-pending,0,,,,/datasets/audit-packets/kashmar-higher-ed.json
seyed-jamaleddin-asadabadi,دانشگاه سید جمال الدین اسدآبادی,جامع,68,secondary-reference,portal-resolution-pending,0,,,,/datasets/audit-packets/seyed-jamaleddin-asadabadi.json
iust,دانشگاه علم و صنعت ایران,صنعتی,1,direct-official,deep-audited,100,6,88.1,100,/datasets/audit-packets/iust.json
sharif,دانشگاه صنعتی شریف,صنعتی,2,direct-official,deep-audited,88,30,75.4,91.4,/datasets/audit-packets/sharif.json
amirkabir,دانشگاه صنعتی امیرکبیر,صنعتی,3,direct-official,deep-audited,88,5,89.3,91.4,/datasets/audit-packets/amirkabir.json
kntu,دانشگاه صنعتی خواجه نصیرالدین طوسی,صنعتی,4,direct-official,deep-audited,88,9,85.2,91.4,/datasets/audit-packets/kntu.json
isfahan-technology,دانشگاه صنعتی اصفهان,صنعتی,5,direct-official,deep-audited,100,7,87.1,100,/datasets/audit-packets/isfahan-technology.json
shahrood-technology,دانشگاه صنعتی شاهرود,صنعتی,6,direct-official,deep-audited,75,16,83,82,/datasets/audit-packets/shahrood-technology.json
babol-noshirvani,دانشگاه صنعتی نوشیروانی بابل,صنعتی,7,direct-official,deep-audited,75,46,69.7,82,/datasets/audit-packets/babol-noshirvani.json
sahand,دانشگاه صنعتی سهند,صنعتی,8,direct-official,deep-audited,88,51,68.3,91.4,/datasets/audit-packets/sahand.json
shiraz-technology,دانشگاه صنعتی شیراز,صنعتی,9,direct-official,deep-audited,75,54,67.8,82,/datasets/audit-packets/shiraz-technology.json
kgut,دانشگاه تحصیلات تکمیلی صنعتی و فناوری پیشرفته کرمان,صنعتی,10,secondary-reference,portal-resolution-pending,88,,,,/datasets/audit-packets/kgut.json
urmia-technology,دانشگاه صنعتی ارومیه,صنعتی,11,direct-official,deep-audited,75,60,62.2,82,/datasets/audit-packets/urmia-technology.json
qochan-technology,دانشگاه صنعتی قوچان,صنعتی,12,direct-official,identity-verified-deep-pending,50,,,,/datasets/audit-packets/qochan-technology.json
arak-technology,دانشگاه صنعتی اراک,صنعتی,13,official-channel-reference,reference-resolved-deep-pending,13,,,,/datasets/audit-packets/arak-technology.json
kermanshah-technology,دانشگاه صنعتی کرمانشاه,صنعتی,14,direct-official,identity-verified-deep-pending,25,,,,/datasets/audit-packets/kermanshah-technology.json
qom-technology,دانشگاه صنعتی قم,صنعتی,15,direct-official,deep-audited,88,36,74,91.4,/datasets/audit-packets/qom-technology.json
jundi-shapur-dezful,دانشگاه صنعتی جندی شاپور دزفول,صنعتی,16,direct-official,deep-audited,75,29,75.8,82,/datasets/audit-packets/jundi-shapur-dezful.json
hamedan-technology,دانشگاه صنعتی همدان,صنعتی,17,secondary-reference,portal-resolution-pending,63,,,,/datasets/audit-packets/hamedan-technology.json
khatam-behbahan,دانشگاه صنعتی خاتم الانبیاء بهبهان,صنعتی,17,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/khatam-behbahan.json
sirjan-technology,دانشگاه صنعتی سیرجان,صنعتی,19,direct-official,deep-audited,88,23,79.1,91.4,/datasets/audit-packets/sirjan-technology.json
mazandaran-science-tech,دانشگاه علم و فناوری مازندران (بهشهر),صنعتی,20,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/mazandaran-science-tech.json
esfarayen-higher-ed,مجتمع آموزش عالی فنی و مهندسی اسفراین,صنعتی,21,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/esfarayen-higher-ed.json
birjand-technology,دانشگاه صنعتی بیرجند,صنعتی,22,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/birjand-technology.json
buin-zahra-higher-ed,مرکز آموزش عالی فنی و مهندسی بوئین زهرا,صنعتی,23,institutional-reference,reference-resolved-deep-pending,81,,,,/datasets/audit-packets/buin-zahra-higher-ed.json
mahallat-higher-ed,مرکز آموزش عالی محلات,صنعتی,24,direct-official,identity-verified-deep-pending,63,,,,/datasets/audit-packets/mahallat-higher-ed.json
gorgan-agri,دانشگاه علوم کشاورزی و منابع طبیعی گرگان,علوم کشاورزی,1,direct-official,deep-audited,75,24,78.7,82,/datasets/audit-packets/gorgan-agri.json
sari-agri,دانشگاه علوم کشاورزی و منابع طبیعی ساری,علوم کشاورزی,2,direct-official,deep-audited,100,22,79.4,100,/datasets/audit-packets/sari-agri.json
khuzestan-agri,دانشگاه علوم کشاورزی و منابع طبیعی خوزستان,علوم کشاورزی,3,direct-official,deep-audited,94,25,77.7,95.7,/datasets/audit-packets/khuzestan-agri.json
torbat-jam-agri,دانشکده کشاورزی و دامپروری تربت جام,علوم کشاورزی,4,secondary-reference,portal-resolution-pending,25,,,,/datasets/audit-packets/torbat-jam-agri.json
iran-art,دانشگاه هنر ایران,هنر,1,direct-official,deep-audited,100,18,82.7,100,/datasets/audit-packets/iran-art.json
tabriz-islamic-art,دانشگاه هنر اسلامی تبریز,هنر,2,official-reference,reference-resolved-deep-pending,81,,,,/datasets/audit-packets/tabriz-islamic-art.json
isfahan-art,دانشگاه هنر اصفهان,هنر,3,direct-official,deep-audited,88,26,77.6,91.4,/datasets/audit-packets/isfahan-art.json
shiraz-art,دانشگاه هنر شیراز,هنر,4,direct-official,deep-audited,88,39,73.3,91.4,/datasets/audit-packets/shiraz-art.json
payame-noor,دانشگاه پیام نور,زیرنظام,1,direct-official,deep-audited,88,55,67.7,91.4,/datasets/audit-packets/payame-noor.json
national-skills,دانشگاه ملی مهارت,زیرنظام,2,official-reference,reference-resolved-deep-pending,6,,,,/datasets/audit-packets/national-skills.json
farhangian,دانشگاه فرهنگیان,زیرنظام,3,direct-official,deep-audited,88,44,70.2,91.4,/datasets/audit-packets/farhangian.json
applied-science,دانشگاه جامع علمی کاربردی,زیرنظام,4,direct-official,deep-audited,88,50,68.3,91.4,/datasets/audit-packets/applied-science.json
imam-hossein,دانشگاه جامع امام حسین (ع),دستگاه اجرایی,1,direct-official,identity-verified-deep-pending,19,,,,/datasets/audit-packets/imam-hossein.json
shahed,دانشگاه شاهد,دستگاه اجرایی,2,direct-official,deep-audited,100,14,84.3,100,/datasets/audit-packets/shahed.json
malek-ashtar,دانشگاه صنعتی مالک اشتر,دستگاه اجرایی,3,restricted-public,restricted-closed,100,,,,/datasets/audit-packets/malek-ashtar.json
shahid-rajaee,دانشگاه تربیت دبیر شهید رجایی,دستگاه اجرایی,4,direct-official,deep-audited,88,10,85.1,91.4,/datasets/audit-packets/shahid-rajaee.json
aja-command,دانشگاه فرماندهی و ستاد آجا (دافوس),دستگاه اجرایی,5,restricted-public,restricted-closed,100,,,,/datasets/audit-packets/aja-command.json
national-defense,دانشگاه عالی دفاع ملی,دستگاه اجرایی,6,direct-official,deep-audited,75,61,55.9,82,/datasets/audit-packets/national-defense.json
amin-police,دانشگاه علوم انتظامی امین,دستگاه اجرایی,7,restricted-public,restricted-closed,100,,,,/datasets/audit-packets/amin-police.json
petroleum,دانشگاه صنعت نفت,دستگاه اجرایی,8,direct-official,deep-audited,100,37,73.8,100,/datasets/audit-packets/petroleum.json
irib,دانشگاه صدا و سیمای جمهوری اسلامی ایران,دستگاه اجرایی,9,institutional-reference,reference-resolved-deep-pending,19,,,,/datasets/audit-packets/irib.json
civil-aviation,مرکز آموزش عالی هوانوردی و فرودگاهی کشور,دستگاه اجرایی,10,legacy-restricted,restricted-closed,100,,,,/datasets/audit-packets/civil-aviation.json
