slug,nameFa,category,iscRank
imam-hossein,دانشگاه جامع امام حسین (ع),دستگاه اجرایی,1
shahed,دانشگاه شاهد,دستگاه اجرایی,2
malek-ashtar,دانشگاه صنعتی مالک اشتر,دستگاه اجرایی,3
shahid-rajaee,دانشگاه تربیت دبیر شهید رجایی,دستگاه اجرایی,4
aja-command,دانشگاه فرماندهی و ستاد آجا (دافوس),دستگاه اجرایی,5
national-defense,دانشگاه عالی دفاع ملی,دستگاه اجرایی,6
amin-police,دانشگاه علوم انتظامی امین,دستگاه اجرایی,7
petroleum,دانشگاه صنعت نفت,دستگاه اجرایی,8
irib,دانشگاه صدا و سیمای جمهوری اسلامی ایران,دستگاه اجرایی,9
civil-aviation,مرکز آموزش عالی هوانوردی و فرودگاهی کشور,دستگاه اجرایی,10
