rank,universitySlug,nameFa,iscCategory,iscRank,score,confidence,evidenceCoverage,activeWeight,portalRankWithinISCClass,rankedPortalsInISCClass,metric_documents,metric_organization,metric_library,metric_laboratories,metric_systems,metric_industryTech,metric_dataQuality,metric_findability
47,shiraz-technology,دانشگاه صنعتی شیراز,صنعتی,9,76.2,89.9,86,90,9,16,73,72.5,,70,45,100,100,75
48,bonab,دانشگاه بناب,جامع,41,75.4,100,100,100,30,50,73,90.8,70,70,35,90,100,75
49,neyshabur,دانشگاه نیشابور,جامع,66,75,100,100,100,31,50,82,72.5,100,70,55,45,100,75
50,maragheh,دانشگاه مراغه,جامع,37,75,84.9,79,78,32,50,91,63.3,,70,,45,100,68.8
51,kharazmi,دانشگاه خوارزمی,جامع,10,74.9,100,100,100,33,50,58,100,70,70,45.5,90,100,76.8
52,bojnord,دانشگاه بجنورد,جامع,46,74.6,100,100,100,34,50,82,81.7,100,70,42.5,45,100,75
53,persian-gulf,دانشگاه خلیج فارس,جامع,28,74.4,89.9,86,88,35,50,82,63.3,100,,55,45,100,75
54,mohaghegh-ardabili,دانشگاه محقق اردبیلی,جامع,18,74.3,100,100,100,36,50,100,81.7,70,70,35,45,100,75
55,tehran,دانشگاه تهران,جامع,1,74.1,89.9,86,88,37,50,91,63.3,70,,55,55,100,72.1
56,shahid-beheshti,دانشگاه شهید بهشتی,جامع,4,74.1,89.9,86,88,38,50,73,63.3,100,,67.5,45,100,75
57,mazandaran-science-tech,دانشگاه علم و فناوری مازندران (بهشهر),صنعتی,20,74,100,100,100,10,16,82,81.7,70,70,17.5,90,100,75
58,shiraz-art,دانشگاه هنر شیراز,هنر,4,74,89.9,86,88,3,3,91,72.5,70,70,27.5,,100,75
59,tarbiat-modares,دانشگاه تربیت مدرس,جامع,2,73.9,100,100,100,39,50,73,90.8,70,70,22.5,90,100,75
60,ardakan,دانشگاه اردکان,جامع,44,73.9,89.9,86,88,40,50,73,81.7,70,,27.5,90,100,75
61,shahid-chamran-ahvaz,دانشگاه شهید چمران اهواز,جامع,20,73.7,89.9,86,80,41,50,,90.8,70,70,35,90,100,56.3
62,imam-khomeini-international,دانشگاه بین المللی امام خمینی (ره),جامع,27,73.5,89.9,86,88,42,50,64,81.7,70,,40,90,100,75
63,jiroft,دانشگاه جیرفت,جامع,61,73.4,100,100,100,43,50,73,81.7,70,70,17.5,100,100,75
64,hamedan-technology,دانشگاه صنعتی همدان,صنعتی,17,72.8,100,100,100,11,16,91,81.7,70,70,27.5,55,100,75
65,babol-noshirvani,دانشگاه صنعتی نوشیروانی بابل,صنعتی,7,72.6,100,100,100,12,16,91,72.5,70,70,45,45,100,75
66,farhangian,دانشگاه فرهنگیان,زیرنظام,3,72,100,100,100,2,3,82,72.5,70,70,55,45,100,75
